accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
-15372,3112,-484,-2509,-2470,-1496,walking,-0.076554513,-0.071231799,0.099404103
-15380,3116,-308,-519,-324,-561,walking,-0.015823606,0.017668137,0.132275132
-15200,3072,-328,341,2073,303,walking,0.010421912,0.116965969,0.162650073
-15168,2912,-44,1155,3311,1419,walking,0.0352636,0.168251207,0.201884371
-15492,2968,184,1829,3663,2101,walking,0.055832761,0.182833116,0.225860887
-14972,2624,460,1563,3008,2548,walking,0.047714961,0.155699165,0.2415757
-14732,2440,484,1113,758,2562,walking,0.033981842,0.062490938,0.242067887
-14936,2392,448,710,-1951,1901,walking,0.02168307,-0.049731767,0.218829651
-15124,2216,264,-849,-3485,675,walking,-0.02589456,-0.113279065,0.175728172
-15232,2516,68,-2186,-4125,-832,walking,-0.066697185,-0.139791628,0.122747807
-15316,2568,-256,-2802,-3703,-2053,walking,-0.0854963,-0.122309907,0.07982211
-15496,2816,-400,-3183,-1756,-2803,walking,-0.097123674,-0.041653721,0.053454974
-15244,3032,-516,-2443,544,-2647,walking,-0.074540322,0.0536258,0.058939338
-15328,3112,-336,-1494,2963,-1680,walking,-0.045578698,0.153835001,0.092935365
-15140,3052,-40,-19,4120,-50,walking,-0.000564584,0.201764742,0.150239941
-15448,3204,196,1199,4098,1732,walking,0.036606394,0.200853373,0.212888256
-14828,2620,456,347,3307,2819,walking,0.01060502,0.168085503,0.251103025
-15272,2828,624,2329,540,3064,walking,0.071091783,0.053460097,0.25971629
-15008,2236,776,-999,-535,2367,walking,-0.030472267,0.008927277,0.235212431
-14636,2448,332,1228,-3592,2246,walking,0.037491417,-0.117711634,0.230958533
-15436,2192,124,-1316,-5507,-613,walking,-0.040146487,-0.197042192,0.130447011
-15380,2568,-172,-2726,-4162,-1130,walking,-0.083176928,-0.141324385,0.112271265
-14848,2604,-652,-1296,-2788,-2255,walking,-0.039536126,-0.084405228,0.072720561
-15204,2860,-628,-2355,-481,-2594,walking,-0.071854734,0.011164274,0.060802616
-15700,3112,-548,-2963,2496,-2001,walking,-0.090409705,0.134489115,0.081650231
-14064,2948,-688,-239,6130,-132,walking,-0.007278553,0.285030759,0.147357134
-14416,2672,-264,7353,2654,1789,walking,0.224414435,0.141034404,0.214892158
