accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
760,9468,-15620,57,411,1327,standing,0.161515189,0.384011677,0.168302723
1752,6820,-15068,9965,-3448,-818,standing,0.512110543,0.199339602,-0.001504117
-140,8788,-16228,2053,-3991,-2659,standing,0.232143805,0.173354389,-0.147245092
516,4308,-16432,3331,-10536,-3287,standing,0.277365935,-0.139855957,-0.196960101
-160,8276,-15676,595,2856,-102,standing,0.180552361,0.501016917,0.055177327
-172,8356,-17228,172,366,1990,standing,0.165584473,0.381858206,0.220788474
1080,7124,-15952,2509,5222,2365,standing,0.248279401,0.614241619,0.250474984
508,5488,-17912,6004,762,2473,standing,0.371950249,0.400808748,0.259024699
2860,3176,-16844,-1886,-383,1539,standing,0.092761982,0.346014883,0.185085497
1644,6040,-17024,-9296,-2133,-2106,standing,-0.169441447,0.262268801,-0.103467384
2348,6796,-16480,-11083,-1903,3215,standing,-0.232674581,0.273275429,0.317764408
2384,7244,-15908,-1620,-1430,-398,standing,0.102174413,0.295910798,0.031744775
1212,6664,-17252,7002,2714,180,standing,0.407264557,0.49422152,0.077501583
2700,20440,-19140,-32768,13283,617,standing,-1,1,0.112096263
2776,8600,-11272,12400,3770,1877,standing,0.598273208,0.544756299,0.211842939
4044,9848,-14076,-836,1256,675,standing,0.129916314,0.42444907,0.116687777
3624,10480,-14268,-4907,746,273,standing,-0.014136339,0.400043069,0.084863838
4588,12648,-11900,-5065,-2295,-1690,standing,-0.019727181,0.254516307,-0.070535149
3080,12556,-11656,2519,-3396,-4180,standing,0.248633251,0.201828057,-0.267653578
2136,11740,-14656,-10958,2391,-4307,standing,-0.228251446,0.478764386,-0.27770741
2364,10932,-13900,10611,-6089,353,standing,0.534969303,0.072954801,0.09119696
4756,9384,-14676,6732,-1256,704,standing,0.397710585,0.304237552,0.118983534
760,9468,-15620,57,411,1327,standing,0.161515189,0.384011677,0.168302723
1752,6820,-15068,9965,-3448,-818,standing,0.512110543,0.199339602,-0.001504117
-140,8788,-16228,2053,-3991,-2659,standing,0.232143805,0.173354389,-0.147245092
516,4308,-16432,3331,-10536,-3287,standing,0.277365935,-0.139855957,-0.196960101
-160,8276,-15676,595,2856,-102,standing,0.180552361,0.501016917,0.055177327
2776,8600,-11272,12400,3770,1877,standing,0.598273208,0.544756299,0.211842939
4044,9848,-14076,-836,1256,675,standing,0.129916314,0.42444907,0.116687777
3624,10480,-14268,-4907,746,273,standing,-0.014136339,0.400043069,0.084863838
4588,12648,-11900,-5065,-2295,-1690,standing,-0.019727181,0.254516307,-0.070535149
2776,8600,-11272,12400,3770,1877,standing,0.598273208,0.544756299,0.211842939
4044,9848,-14076,-836,1256,675,standing,0.129916314,0.42444907,0.116687777
3624,10480,-14268,-4907,746,273,standing,-0.014136339,0.400043069,0.084863838
4588,12648,-11900,-5065,-2295,-1690,standing,-0.019727181,0.254516307,-0.070535149
2776,8600,-11272,12400,3770,1877,standing,0.598273208,0.544756299,0.211842939
4044,9848,-14076,-836,1256,675,standing,0.129916314,0.42444907,0.116687777
